county,year,area_ha,production_ha,population,rainfall_mm,temperature_c,yield_per_hectare,production_per_person,log_production,rainfall_efficiency
Nyamira,2022,48280,76884,605576.0,144.665,19.329166666666666,1.592460646230323,0.12696011730980092,11.250066077949793,531.4623440362217
Nyamira,2023,48175,63424,605576.0,144.665,19.329166666666666,1.316533471717696,0.10473334478248808,11.057613384467482,438.41979746310443
Nyamira,2024,48580,89599,605576.0,144.665,19.329166666666666,1.8443598188554962,0.14795665614225134,11.403110598963021,619.3550616942592
Nyandarua,2020,17660,39170,638289.0,92.08166666666666,15.319166666666668,2.2180067950169877,0.06136718633722342,10.575691956076149,425.38326485547253
Nyandarua,2021,14070,27958,638289.0,92.08166666666666,15.319166666666668,1.9870646766169153,0.04380147550717622,10.238494430329037,303.62178500968344
Nyandarua,2022,20060,26836,638289.0,92.08166666666666,15.319166666666668,1.3377866400797607,0.04204365107341659,10.197536811366069,291.4369490850513
Nyandarua,2023,20716,46617,638289.0,92.08166666666666,15.319166666666668,2.250289631202935,0.07303431517698096,10.749742011626616,506.2571268258249
Nyandarua,2024,14987,28698,638289.0,92.08166666666666,15.319166666666668,1.9148595449389472,0.04496082495546688,10.264617557935098,311.65812955890607
Nyeri,2020,26521,26251,759164.0,118.01666666666667,14.495833333333332,0.9898193884091852,0.034578826182484944,10.175497455593613,222.43468436661487
Nyeri,2021,27067,19382,759164.0,118.01666666666667,14.495833333333332,0.7160749251856504,0.025530715365849804,9.872151672226275,164.23104081344442
Nyeri,2022,26984,14323,759164.0,118.01666666666667,14.495833333333332,0.5307960272754225,0.018866806118309088,9.569691731118324,121.36421409405452
Nyeri,2023,31317,35280,759164.0,118.01666666666667,14.495833333333332,1.1265446881885237,0.04647217202080183,10.471099854390227,298.9408275667279
Nyeri,2024,29248,24832,759164.0,118.01666666666667,14.495833333333332,0.849015317286652,0.03270966484185235,10.119928692790662,210.41095890410958
Samburu,2020,10320,9756,310327.0,81.3275,22.925,0.9453488372093023,0.031437805927296045,9.18574025510795,119.95942331929544
